cell_name,cycle_no,step_no,step_name,c_rate,auc_ahv
RD_RateCapability_0025,1,8,CCCV_Chg,0.2000046133333333,45.122304764999996
RD_RateCapability_0025,1,12,CCCV_Chg,0.30000928,42.91077783
RD_RateCapability_0025,1,16,CCCV_Chg,0.4000114,40.85035366900002
RD_RateCapability_0025,1,20,CCCV_Chg,0.5000374866666667,39.360896677000014
RD_RateCapability_0025,1,2,CC_DChg,-0.3333002399999999,103.12885998199998
RD_RateCapability_0025,1,6,CC_DChg,-0.0999662466666666,111.28424517199997
RD_RateCapability_0025,1,10,CC_DChg,-0.1999669333333333,108.17761718800001
RD_RateCapability_0025,1,14,CC_DChg,-0.2999667066666666,105.4872511175
RD_RateCapability_0025,1,18,CC_DChg,-0.3999672733333334,103.79269933450001
RD_RateCapability_0025,1,22,CC_DChg,0.0,102.37232673549997
RD_RateCapability_0025,2,4,CCCV_Chg,0.10000098,47.8017795045
RD_RateCapability_0025,2,8,CCCV_Chg,0.1999958666666666,45.385471554000034
RD_RateCapability_0025,2,12,CCCV_Chg,0.2999986133333333,43.3123102015
RD_RateCapability_0025,2,16,CCCV_Chg,0.4000252466666666,40.81826040150001
RD_RateCapability_0025,2,20,CCCV_Chg,0.4999974199999999,39.148875253
RD_RateCapability_0025,2,6,CC_DChg,-0.0999669466666666,111.6646745215
RD_RateCapability_0025,2,10,CC_DChg,-0.1999663466666666,108.70390392600005
RD_RateCapability_0025,2,14,CC_DChg,-0.2999660266666666,105.95446359249996
RD_RateCapability_0025,2,18,CC_DChg,-0.3999668533333333,103.70744987150003
RD_RateCapability_0025,2,22,CC_DChg,-0.4999664199999999,101.99012950500001
RD_RateCapability_0025,3,4,CCCV_Chg,0.1000110066666666,48.0579883475
RD_RateCapability_0025,3,8,CCCV_Chg,0.20000176,45.2223980265
RD_RateCapability_0025,3,12,CCCV_Chg,0.30000264,42.96221341550003
RD_RateCapability_0025,3,16,CCCV_Chg,0.4000011933333333,41.03886639900001
RD_RateCapability_0025,3,20,CCCV_Chg,0.50000308,39.55705605499999
RD_RateCapability_0025,3,6,CC_DChg,0.0,111.91011132299991
RD_RateCapability_0025,3,10,CC_DChg,-0.1999664,108.23788502699993
RD_RateCapability_0025,3,14,CC_DChg,-0.2999667533333333,105.85427933200003
RD_RateCapability_0025,3,18,CC_DChg,-0.39996676,103.77648288299996
RD_RateCapability_0025,3,22,CC_DChg,-0.4999671799999999,102.32742449499999
RD_RateCapability_0034,1,4,CCCV_Chg,0.1000025333333333,46.466581921499966
RD_RateCapability_0034,1,8,CCCV_Chg,0.1999987066666666,43.567474797500005
RD_RateCapability_0034,1,12,CCCV_Chg,0.3000026,40.79806790199998
RD_RateCapability_0034,1,16,CCCV_Chg,0.4000044533333333,38.47059860349998
RD_RateCapability_0034,1,20,CCCV_Chg,0.49999872,36.85726860199995
RD_RateCapability_0034,1,2,CC_DChg,-0.3332996866666667,100.31591554849997
RD_RateCapability_0034,1,6,CC_DChg,-0.0999669733333333,110.85822185050003
RD_RateCapability_0034,1,10,CC_DChg,-0.1999672466666666,106.808016871
RD_RateCapability_0034,1,14,CC_DChg,-0.29996714,103.45575872450003
RD_RateCapability_0034,1,18,CC_DChg,-0.3999665733333333,101.27129242349999
RD_RateCapability_0034,1,22,CC_DChg,-0.49996638,99.273756898
